Source,Guest Card Inquiries,Showings,Applications,Approved Applications,Converted Tenants,Property Name
2108 referral,1,0,0,0,0,
501 refferral,2,0,0,0,0,
ad on,1,0,0,0,0,
Add On,3,0,2,2,3,
add on 02-101,1,0,0,0,0,
add on 05-202,1,0,0,0,0,
add on 13-202,1,0,1,1,1,
adding on a unit,1,0,1,1,1,
Additional Tenant,3,0,2,2,3,
additional tenat,1,0,1,1,1,
aparments.com,1,0,0,0,0,
Apartment List,14,0,0,0,0,
Apartments.com,333,2,9,6,0,
applicant referral,1,0,1,0,0,
applied in the past,1,0,0,0,0,
APPLYING  WITH ANOTHER APPLICANT,1,0,1,0,0,
Atlanta Apartment Magazine,81,2,0,0,0,
b102,1,0,1,1,1,
d203,1,0,1,0,0,
Drive By,30,2,11,5,5,
Drive by s203,1,0,1,1,1,
Easter event,1,0,1,1,0,
EveryApartment,2,0,0,0,0,
Facebook,17,0,12,7,1,
Family Friend,1,0,1,1,0,
family used to stay here,1,0,0,0,0,
flyer,0,0,1,1,1,
Google,1,0,2,1,3,
he live here,1,0,1,1,1,
iliana res ref,1,0,0,0,0,
INFINITY BH,2,0,0,0,0,
Infinity BH website,6,0,0,0,0,
INFINITY WEBSITE,1,0,0,0,0,
J Brown refferal,0,0,1,0,0,
knows the area,1,0,0,0,0,
Maria pastrana res ref.,1,0,0,0,0,
New Tenants,1,0,0,0,0,
No Source Recorded,62,0,47,34,34,
Past resident,1,0,1,1,0,
Patricia gonzalez 02-202 res ref.,1,0,1,0,0,
ref16-303 Clauia vasqus,1,0,0,0,0,
Referral 1035,1,0,0,0,0,
Refferral 3105,2,0,2,2,0,
Rental Source,1,0,0,0,0,
res ref el gordo,1,0,0,0,0,
res ref. Evelyn,1,0,0,0,0,
Res referral,1,0,0,0,0,
Resident Referral,2,0,2,1,1,
Shared Application Link,13,0,13,10,3,
Show Me The Rent,1,0,0,0,0,
this es an add on 13-301,1,0,0,0,0,
Trulia,1,0,1,1,0,
Uloop,31,0,0,0,0,
Walk In,176,6,81,54,35,
web google,1,0,0,0,0,
Website,98,4,55,19,12,
Website (Apartments.com),2,0,0,0,0,
Website (Zillow),6,1,1,1,0,
Word Of Mouth,1,1,0,0,0,
Y Braddock refferal,2,0,1,1,0,
Zillow Rental Network,689,17,12,8,6,
Zumper,149,0,2,0,0,
Zumper.com,1,0,0,0,0,
