Property Name,Region
Azure Villas,South Florida
Buena Vista,Central Florida
Castle Creek Apartments,Georgia
Clear Lake Palms,South Florida
Collins Shopping Plaza,Retail
Grove at Temple Terrace,Central Florida
"INFINITY ALABAMA, LLC",Retail
INFINITY BH LTD,Retail
Infinity Gardens Apartments LLC,Arizona
"Infinity Harding, LLC",Retail
"Infinity Highland Oaks, LLC",South Florida
Infinity Las Casitas Apartments LLC,Arizona
"Infinity Magnolia 2, LLC",North Florida
Infinity Magnolia LLC,North Florida
Infinity Normans LLC,Retail
"Infinity Reserve at Waters, LLC",North Florida
Laguna Place,Central Florida
Lakeside Condominiums,South Florida
Luna At Hollywood,South Florida
Midway Manor Apartments,Georgia
Parc Place Villas,Central Florida
Roselea Manor Apartments,Central Florida
Royal Manor,Georgia
South Bay Plantation,South Florida
The Oaks Apartments,South Florida
The Standard at 2690,Central Florida
University Townhomes,North Florida
Woodridge Manor,Arizona
Zuli Shopping Plaza,Retail
